Time,Temp,dH,UV_light,DSC_RAW,corrected_dH,dH_mass_referenced,Exposure_Time,baseline,final_dH,cumulated_dH_integral,conversion_UV
119.8,25.32,-18.6965,2,-0.00421484,0.03879999999999839,0.00408421052631562,0.0,0.00408421052631562,0.0,0.0,0.0
119.9,25.32,-18.6965,2,-0.00420942,0.03930000000000078,0.00413684210526324,0.10000000000000853,0.0040994673272099855,3.737477805325438e-05,1.8687389026628781e-06,2.2804344345502864e-06
120.0,25.32,-18.6959,2,-0.00423777,0.04059999999999775,0.004273684210526079,0.20000000000000284,0.0041147241281043485,0.00015896008242173056,1.0281973154490995e-05,1.254715980023284e-05
120.1,25.32,-18.6947,2,-0.00424102,0.042500000000000426,0.004473684210526361,0.29999999999999716,0.004129980928998712,0.0003437032815276483,3.5590579948440145e-05,4.3431419950847756e-05
120.2,25.32,-18.6929,2,-0.00425186,0.044599999999999085,0.0046947368421051665,0.4000000000000057,0.004145237729893078,0.0005494991122120887,7.972438384597425e-05,9.728819255413246e-05
120.3,25.32,-18.6898,2,-0.00422856,0.04779999999999873,0.005031578947368287,0.5,0.004160494530787441,0.0008710844165808465,0.0001501395251978831,0.00018321625496231736
120.4,25.32,-18.6859,2,-0.00420652,0.05109999999999815,0.005378947368420857,0.6000000000000085,0.004175751331681806,0.0012031960367390512,0.00025429214435513064,0.0003103143845278454
120.5,25.32,-18.6805,2,-0.00420743,0.0555000000000021,0.005842105263158116,0.7000000000000028,0.004191008132576169,0.001651097130581947,0.0003955155746509774,0.0004826502699493195
120.6,25.32,-18.6734,2,-0.00418449,0.06080000000000041,0.006400000000000043,0.7999999999999972,0.004206264933470533,0.00219373506652951,0.0005876694652083233,0.0007171369326582561
120.7,25.32,-18.6643,2,-0.00417365,0.06729999999999947,0.007084210526315734,0.9000000000000057,0.0042215217343648985,0.002862688791950835,0.0008387362721674253,0.0010235154166435133
120.8,25.32,-18.6528,2,-0.00418287,0.07560000000000144,0.007957894736842257,1.0,0.0042367785352592615,0.003721116201582996,0.0011665230130721857,0.0014235157431113127
120.9,25.32,-18.6391,2,-0.00418756,0.08500000000000085,0.008947368421052721,1.1000000000000085,0.004252035336153627,0.004695333084899094,0.0015862051265191153,0.0019356566000846701
121.0,25.32,-18.6236,2,-0.00421809,0.09550000000000125,0.0100526315789475,1.2000000000000028,0.00426729213704799,0.0057853394418995105,0.002109449279174819,0.002574174898008932
121.1,25.32,-18.604,2,-0.00420509,0.10960000000000036,0.011536842105263196,1.2999999999999972,0.004282548937942354,0.007254293167320842,0.002758097576302452,0.00336572470230447
121.2,25.32,-18.5803,2,-0.0041863,0.12650000000000006,0.013315789473684217,1.4000000000000057,0.004297805738836719,0.009017983734847497,0.003570132474042534,0.004356656255248691
121.3,25.32,-18.5522,2,-0.00415884,0.14710000000000178,0.015484210526315977,1.5,0.004313062539731082,0.011171147986584895,0.004575466253096533,0.00558347171069003
121.4,25.32,-18.5199,2,-0.00412236,0.17020000000000124,0.01791578947368434,1.6000000000000085,0.004328319340625448,0.013587470133058891,0.005813134001184119,0.007093805844179415
121.5,25.32,-18.4789,2,-0.00404505,0.20060000000000144,0.021115789473684362,1.7000000000000028,0.004343576141519811,0.01677221333216455,0.007322784841111844,0.008936042742342819
121.6,25.32,-18.4313,2,-0.00393993,0.2362000000000002,0.02486315789473686,1.7999999999999972,0.0043588329424141745,0.020504324952322687,0.00918582228165192,0.011209519644980223
121.7,25.32,-18.38,2,-0.00387924,0.2737000000000016,0.028810526315789644,1.9000000000000057,0.00437408974330854,0.024436436572481103,0.011427421761401046,0.01394495830621095
121.8,25.32,-18.3141,2,-0.00371993,0.3255000000000017,0.034263157894737016,2.0,0.004389346544202903,0.029873811350534112,0.014123285034744653,0.01723473807727042
121.9,25.32,-18.2454,2,-0.00362601,0.3794000000000004,0.0399368421052632,2.1000000000000085,0.0044046033450972685,0.03553223876016593,0.017398850698174657,0.02123193250655762
122.0,25.32,-18.1547,2,-0.0034219,0.4551000000000016,0.04790526315789491,2.200000000000003,0.004419860145991631,0.043485403011903276,0.02130622401484806,0.02600012599109838
122.1,25.32,-18.0612,2,-0.00327325,0.5335000000000001,0.056157894736842115,2.299999999999997,0.004435116946885995,0.05172277778995612,0.026088650598800407,0.031836152761458326
122.2,25.32,-17.9363,2,-0.00298046,0.6427000000000014,0.06765263157894752,2.4000000000000057,0.004450373747780361,0.06320225783116716,0.03175884974827813,0.03875553426135715
122.3,25.32,-17.7918,2,-0.00265715,0.7722000000000016,0.08128421052631596,2.5,0.004465630548674724,0.07681857997764123,0.03879111970889357,0.04733705977484086
122.4,25.32,-17.6672,2,-0.00252602,0.8818999999999981,0.09283157894736822,2.6000000000000085,0.004480887349569089,0.08835069159779914,0.04705309205959617,0.05741919924279814
122.5,25.32,-17.4892,2,-0.00216946,1.0456000000000003,0.11006315789473688,2.700000000000003,0.004496144150463452,0.10556701374427342,0.05671546855476936,0.0692102611443747
122.6,25.32,-17.358,2,-0.00199335,1.1626000000000012,0.12237894736842118,2.799999999999997,0.004511400951357816,0.11786754641706337,0.06800263515932685,0.08298406515565791
122.7,25.32,-17.1509,2,-0.00153981,1.3552999999999997,0.14266315789473683,2.9000000000000057,0.0045266577522521815,0.13813650014248463,0.08066196029432285,0.09843232329106463
122.8,25.32,-16.9204,2,-0.00100209,1.5726999999999975,0.16554736842105236,3.0,0.004541914553146544,0.16100545386790582,0.09571660185449063,0.11680360189221001
122.9,25.32,-16.8618,2,-0.000736933,1.6192000000000029,0.1704421052631582,3.1000000000000085,0.00455717135404091,0.1658849339091173,0.11209182299772914,0.13678639248708943
123.0,25.32,-16.6837,2,-7.92831e-05,1.7851,0.18790526315789471,3.200000000000003,0.004572428154935273,0.18333283500295944,0.12931253600473547,0.1578009423916941
123.1,25.33,-16.8493,2,0.000265345,1.6081000000000003,0.16927368421052635,3.299999999999997,0.004587684955829637,0.1646859992546967,0.1471497057877927,0.17956775857465107
123.2,25.33,-16.4513,2,0.00123529,1.9949000000000012,0.20998947368421064,3.4000000000000057,0.004602941756724002,0.20538653192748663,0.16422798146971052,0.2004084912699954
123.3,25.33,-16.1667,2,0.00192761,2.2691000000000017,0.23885263157894754,3.5,0.004618198557618365,0.23423443302132918,0.18723859112065874,0.22848849031814703
123.4,25.33,-15.558,2,0.00341252,2.8676999999999992,0.3018631578947368,3.6000000000000085,0.004633455358512731,0.29722970253622405,0.21221311368801254,0.25896506527888197
123.5,25.33,-14.7658,2,0.00534013,3.6499000000000006,0.38420000000000004,3.700000000000003,0.004648712159407094,0.37955128784059294,0.24720523338228984,0.3016661802259874
123.6,25.33,-14.3481,2,0.0063574,4.057699999999999,0.4271263157894736,3.799999999999997,0.004663968960301457,0.4224623468291721,0.28680968704560056,0.34999575680122175
