Time,Temp,dH,UV_light,DSC_RAW,corrected_dH,dH_mass_referenced,Exposure_Time,baseline,final_dH,cumulated_dH_integral,conversion_UV
120.2,25.01,-3.29513,5,-0.000907804,0.30254000000000003,0.04787025316455697,0.0,0.04787025316455697,0.0,0.0,0.0
120.3,25.01,-3.28881,5,-0.000885228,0.3067000000000002,0.048528481012658255,0.09999999999999432,0.04782635021977558,0.0007021307928826714,3.510653964413158e-05,7.163591645989452e-05
120.4,25.01,-3.27988,5,-0.000877096,0.3132999999999999,0.049572784810126565,0.20000000000000284,0.04778244727499419,0.001790337535132372,0.00015329535688877923,0.00031280363975177397
120.5,25.01,-3.26763,5,-0.000881613,0.32262000000000013,0.0510474683544304,0.29999999999999716,0.04773854433021281,0.003308924024217591,0.0004078892365440229,0.0008323098650607715
120.6,25.01,-3.24605,5,-0.000871137,0.3405,0.053876582278481015,0.3999999999999915,0.047694641385431426,0.0061819408930495895,0.0008602278410571498,0.0017553199598453265
120.7,25.01,-3.20623,5,-0.000872397,0.37517999999999985,0.059363924050632885,0.5,0.047650738440650035,0.01171318560998285,0.001743749988993658,0.003558172631217231
120.8,25.01,-3.14715,5,-0.000852527,0.4275899999999999,0.06765664556962024,0.5999999999999943,0.04760683549586865,0.02004981007375159,0.003296377621281538,0.0067263545280192025
120.9,25.01,-3.04661,5,-0.000770344,0.5185300000000002,0.08204588607594938,0.7000000000000028,0.04756293255108726,0.03448295352486212,0.005984355463659734,0.012211251590348717
121.0,25.01,-2.9207,5,-0.000712185,0.6315,0.09992088607594936,0.7999999999999972,0.04751902960630587,0.05240185646964349,0.010309160309376269,0.02103614181802699
121.1,25.01,-2.72597,5,-0.000452988,0.8096900000000002,0.12811550632911395,0.8999999999999915,0.04747512666152449,0.08064037966758947,0.016865662939022395,0.03441487636171822
121.2,25.01,-2.55353,5,-0.000258998,0.9600600000000004,0.15190822784810132,1.0,0.0474312237167431,0.10447700413135821,0.026290506285088725,0.05364654366445849
121.3,25.01,-2.24097,5,0.000504855,1.2469700000000001,0.19730537974683546,1.0999999999999943,0.04738732077196171,0.14991805897487376,0.03869793085390168,0.0789642548061347
121.4,25.01,-1.6714,5,0.00199174,1.7846,0.28237341772151897,1.2000000000000028,0.04734341782718032,0.23502999989433865,0.057596480949262854,0.11752729660882429
121.5,25.01,-1.69657,5,0.00293098,1.7237400000000003,0.272743670886076,1.2999999999999972,0.04729951488239894,0.22544415600367704,0.08142759908171493,0.16615538712949127
121.6,25.01,-0.37419,5,0.00611536,3.00497,0.4754699367088608,1.3999999999999915,0.047255611937617556,0.4282143247712432,0.10976384590526955,0.22397632393544695
121.7,25.01,0.405406,5,0.00799167,3.740406,0.5918363924050632,1.5,0.047211708992836166,0.544624683412227,0.16170250517520665,0.3299586706496464
121.8,25.02,2.83948,5,0.0138532,6.1282499999999995,0.9696598101265822,1.5999999999999943,0.04716780604805478,0.9224920040785274,0.2274040146552248,0.46402451399704975
121.9,25.02,5.66329,5,0.0206532,8.90442,1.4089272151898733,1.7000000000000028,0.04712390310327339,1.3618033120866,0.34658226411328075,0.7072112025330384
122.0,25.02,7.94913,5,0.0261598,11.14254,1.7630601265822785,1.7999999999999972,0.04708000015849201,1.7159801264237866,0.4969268606168487,1.0139937297915025
122.1,25.03,12.7208,5,0.0376594,15.86697,2.5105965189873416,1.8999999999999915,0.047036097213710625,2.463560421773631,0.706879555220802,1.4424083170347275
122.2,25.04,18.8433,5,0.0513923,21.94315,3.472017405063291,2.0,0.046992194268929234,3.4250252107943617,0.9967684280939529,2.03393500380875
122.3,25.05,21.0968,5,0.0578734,24.15351,3.821757911392405,2.0999999999999943,0.04694829132414785,3.774809620068257,1.364615544109637,2.7845377558893736
122.4,25.07,27.9333,5,0.0740154,30.94782,4.896806962025316,2.200000000000003,0.04690438837936646,4.84990257364595,1.7759073035844153,3.6237905680731384
122.5,25.08,30.7809,5,0.0812732,33.75539,5.341042721518987,2.299999999999997,0.04686048543458508,5.294182236084402,2.3022679338388343,4.697844761932886
122.6,25.1,37.7345,5,0.0986277,40.67164,6.435386075949366,2.3999999999999915,0.04681658248980369,6.3885694934595625,2.8564140039657913,5.828595954975326
122.7,25.13,45.1568,5,0.116113,48.057289999999995,7.60400158227848,2.5,0.0467726795450223,7.557228902733457,3.577658942235417,7.300317254446702
122.8,25.15,47.7894,5,0.123472,50.65524,8.015069620253165,2.5999999999999943,0.04672877660024091,7.968340843652924,4.342608202234016,8.861218495092837
122.9,25.18,55.0074,5,0.140074,57.839409999999994,9.151805379746834,2.700000000000003,0.04668487365545952,9.105120506091374,5.207876161598942,10.626822963115382
123.0,25.21,58.4427,5,0.149056,61.24244,9.690259493670887,2.799999999999997,0.04664097071067814,9.643618522960208,6.143689581933321,12.536377498557266
123.1,25.25,63.8426,5,0.161665,66.61147,10.539789556962024,2.8999999999999915,0.046597067765896755,10.493192489196128,7.154547044460914,14.599061587406
123.2,25.29,69.2412,5,0.174923,71.98046000000001,11.389313291139242,3.0,0.046553164821115364,11.342760126318126,8.242327868802121,16.818710036073536
123.3,25.32,71.9878,5,0.181701,74.69985999999999,11.81959810126582,3.0999999999999943,0.04650926187633398,11.773088839389485,9.405630833965073,19.19246361232186
123.4,25.37,75.6613,5,0.190805,78.34777,12.39679905063291,3.200000000000003,0.04646535893155259,12.350333691701358,10.601842841321405,21.633369047489836
123.5,25.4,77.7983,5,0.19613,80.46181,12.731299050632911,3.299999999999997,0.04642145598677121,12.68487759464614,11.864360731588075,24.209573567589377
123.6,25.46,80.9123,5,0.203956,83.55448,13.220645569620253,3.3999999999999915,0.04637755304198982,13.174268016578262,13.1439799108834,26.820673765948055
123.7,25.51,82.9947,5,0.209267,85.61722999999999,13.547030063291137,3.5,0.04633365009720843,13.500696413193928,14.491133862857357,29.56958063459624
123.8,25.54,84.0941,5,0.212112,86.6985,13.718117088607594,3.5999999999999943,0.04628974715242705,13.671827341455167,15.838942611243741,32.31982363439191
123.9,25.58,84.9822,5,0.214453,87.56898000000001,13.855851265822785,3.700000000000003,0.04624584420764566,13.80960542161514,17.225403774713833,35.148938012739194
124.0,25.63,85.9238,5,0.217029,88.49361,14.002153481012659,3.799999999999997,0.046201941262864275,13.955951539749794,18.60114929683263,37.95618681286553
124.1,25.69,86.4766,5,0.218726,89.02982,14.086996835443037,3.8999999999999915,0.04615803831808289,14.040838797124954,20.013961896482197,40.839072064101074
124.2,25.72,86.4006,5,0.219149,88.93712,14.072329113924049,4.0,0.0461141353733015,14.026214978550748,21.406000020392682,43.67956639263023
124.3,25.77,86.1295,5,0.219127,88.64968999999999,14.026849683544302,4.099999999999994,0.04607023242852011,13.980779451115783,22.8187503299561,46.56232453913107
124.4,25.83,85.4691,5,0.218239,87.97339,13.919840189873415,4.200000000000003,0.04602632948373872,13.873813860389676,24.200104908506173,49.38101878224333
124.5,25.85,85.1583,5,0.217561,87.64764,13.86829746835443,4.299999999999997,0.04598242653895734,13.822315041815472,25.596336968067828,52.23007095859773
124.6,25.91,84.0796,5,0.215491,86.55505,13.695419303797467,4.3999999999999915,0.04593852359417595,13.649480780203291,26.960523402101177,55.01373310288059
124.7,25.96,82.9129,5,0.212758,85.37568999999999,13.508811708860758,4.5,0.04589462064939456,13.462917088211364,28.32667219320135,57.80139949390289
124.8,25.98,82.1875,5,0.211404,84.63961,13.39234335443038,4.599999999999994,0.04585071770461318,13.346492636725767,29.655444794427034,60.51279868107717
124.9,26.03,80.7909,5,0.207952,83.23405,13.169944620253164,4.700000000000003,0.04580681475983179,13.124137805493332,30.99097246105287,63.237981775910576
125.0,26.06,79.6883,5,0.205763,82.1241,12.994319620253163,4.799999999999997,0.045762911815050406,12.948556708438113,32.28183147999831,65.8720171943838
125.1,26.1,78.2526,5,0.202271,80.68254,12.766224683544303,4.8999999999999915,0.04571900887026902,12.720505674674035,33.57810777425933,68.51710672089163
125.2,26.15,76.7813,5,0.19801,79.20641,12.532659810126583,5.0,0.04567510592548763,12.486984704201095,34.825750283709525,71.06295759325829
125.3,26.17,75.4478,5,0.196094,77.86906,12.321053797468355,5.099999999999994,0.04563120298070625,12.27542259448765,36.07646525043714,73.61507790417068
125.4,26.21,73.8332,5,0.191554,76.2509,12.06501582278481,5.200000000000003,0.04558730003592486,12.019428522748886,37.27935373720624,76.06960689000209
125.5,26.24,72.3498,5,0.18891,74.76391,11.829732594936708,5.299999999999997,0.045543397091143474,11.784189197845564,38.48158600245531,78.52279683671244
