Time,Temp,dH,UV_light,DSC_RAW,corrected_dH,dH_mass_referenced,Exposure_Time,baseline,final_dH,cumulated_dH_integral,conversion_UV
120.8,25.21,-20.5605,4,-0.00280808,-0.06550000000000011,-0.008791946308724848,0.0,-0.008791946308724848,0.0,0.0,0.0
120.9,25.21,-20.5435,4,-0.00279706,-0.052000000000003155,-0.006979865771812504,0.10000000000000853,-0.008778691415105443,0.0017988256432929393,8.994128216465464e-05,0.00035320486502863865
121.0,25.21,-20.5233,4,-0.00282686,-0.036199999999997345,-0.004859060402684207,0.20000000000000284,-0.008765436521486042,0.003906376118801834,0.00037005595639910644,0.001453232164221417
121.1,25.21,-20.4976,4,-0.00282741,-0.016099999999998005,-0.0021610738255030877,0.29999999999999716,-0.008752181627866638,0.006591107802363551,0.0008926930159920414,0.003505659566296312
121.2,25.21,-20.4611,4,-0.00279201,0.013800000000003365,0.0018523489932890424,0.4000000000000057,-0.008738926734247235,0.010591275727536278,0.0017321253915922345,0.006802161370459515
121.3,25.21,-20.4173,4,-0.00275462,0.04969999999999786,0.006671140939597028,0.5,-0.008725671840627832,0.01539681278022486,0.0030335432397990297,0.011912908119435522
121.4,25.21,-20.3621,4,-0.00273367,0.0954999999999977,0.012818791946308415,0.6000000000000085,-0.008712416947008429,0.021531208893316844,0.004855783249650749,0.019068955056271326
121.5,25.21,-20.2866,4,-0.00266304,0.1609000000000016,0.021597315436241826,0.7000000000000028,-0.008699162053389026,0.030296477489630852,0.007438330879759962,0.02921077608849608
121.6,25.21,-20.2039,4,-0.00261536,0.23229999999999862,0.031181208053691088,0.7999999999999972,-0.008685907159769623,0.03986711521346071,0.010941924385160434,0.042969600083519126
121.7,25.21,-20.0955,4,-0.0024938,0.327499999999997,0.04395973154362376,0.9000000000000057,-0.00867265226615022,0.052632383809773975,0.015538152132743153,0.06101926495547278
121.8,25.21,-19.9913,4,-0.00235327,0.4177999999999997,0.05608053691275164,1.0,-0.008659397372530816,0.06473993428528245,0.0214464772097551,0.08422161554628325
121.9,25.21,-19.9061,4,-0.00220389,0.4867000000000026,0.06532885906040303,1.1000000000000085,-0.008646142478911413,0.07397500153931444,0.028371933173245087,0.11141830076106818
122.0,25.21,-19.8456,4,-0.00194109,0.5295999999999985,0.07108724832214745,1.2000000000000028,-0.00863288758529201,0.07972013590743947,0.03612514642142123,0.14186563899054785
122.1,25.21,-20.0317,4,-0.0018161,0.3222999999999985,0.04326174496644275,1.2999999999999972,-0.008619632691672608,0.05188137765811536,0.042945714269720985,0.16865042222131332
122.2,25.21,-20.0471,4,-0.0014684,0.28669999999999973,0.03848322147651003,1.4000000000000057,-0.008606377798053204,0.047089599274563236,0.0472696546152367,0.18563079796616724
122.3,25.21,-19.8724,4,-0.00104213,0.4389000000000003,0.058912751677852385,1.5,-0.0085931229044338,0.06750587458228618,0.053221911529555396,0.20900567154411928
122.4,25.21,-19.7239,4,-0.000678898,0.5652000000000008,0.07586577181208064,1.6000000000000085,-0.008579868010814397,0.08444563982289503,0.060654945862790494,0.2381956477734694
122.5,25.21,-19.3679,4,0.000194052,0.8988000000000014,0.12064429530201361,1.7000000000000028,-0.008566613117194994,0.1292109084192086,0.07129940638451474,0.279997089240531
122.6,25.21,-19.1456,4,0.00073917,1.0978999999999992,0.14736912751677841,1.7999999999999972,-0.008553358223575593,0.155922485740354,0.08589533783745851,0.33731619649282046
122.7,25.22,-18.3907,4,0.00257159,1.830400000000001,0.24569127516778536,1.9000000000000057,-0.008540103329956188,0.2542313784977415,0.10561757243638968,0.4147666068263763
122.8,25.22,-17.94,4,0.0036575,2.2577,0.3030469798657718,2.0,-0.008526848436336786,0.31157382830210856,0.13537606543857275,0.5316300120539076
122.9,25.22,-16.511,4,0.00711191,3.6641000000000012,0.49182550335570485,2.1000000000000085,-0.008513593542717381,0.5003390968984223,0.1737496759044196,0.6823255055919947
123.0,25.22,-14.4321,4,0.0121468,5.720699999999999,0.7678791946308723,2.200000000000003,-0.008500338649097978,0.7763795332799702,0.23835305707776427,0.9360268980843964
123.1,25.22,-13.3227,4,0.014839,6.808100000000001,0.9138389261744968,2.299999999999997,-0.008487083755478577,0.9223260099299754,0.32287770784004693,1.267960323376583
123.2,25.23,-10.1971,4,0.022432,9.9123,1.330510067114094,2.4000000000000057,-0.008473828861859172,1.338983895975953,0.43184197271029723,1.6958695941826667
123.3,25.23,-8.07194,4,0.0276058,12.01656,1.6129610738255034,2.5,-0.00846057396823977,1.621421647793743,0.5828260530307645,2.288793226441279
123.4,25.24,-3.80677,4,0.0379961,16.26143,2.182742281879195,2.6000000000000085,-0.008447319074620365,2.191189600953815,0.7657039756471307,3.0069659099947668
123.5,25.25,0.335897,4,0.0481182,20.384997,2.736241208053691,2.700000000000003,-0.008434064181000962,2.7446752722346917,1.0179911264653774,3.9977128385307372
123.6,25.26,3.29953,4,0.0553811,23.32983,3.1315208053691275,2.799999999999997,-0.00842080928738156,3.139941614656509,1.3093650524654028,5.141955901658285
123.7,25.27,8.75412,4,0.0687701,28.76622,3.8612375838926174,2.9000000000000057,-0.008407554393762156,3.8696451382863795,1.6612328263541871,6.523761971053592
123.8,25.29,13.9324,4,0.080764,33.9281,4.5541073825503355,3.0,-0.008394299500142754,4.5625016820504785,2.0820658474604907,8.176398745202885
123.9,25.3,17.1655,4,0.0888601,37.1447,4.9858657718120805,3.1000000000000085,-0.00838104460652335,4.994246816418604,2.5631605788716825,10.065686907261762
